molecule,model,mean,sd,n,median,se,split
CO,MB2,106.56599749069628,,1,106.56599749069628,,train
CO,MB2_flip1,106.56355388610295,,1,106.56355388610295,,train
CO,MB2_flip2,106.56437811836828,,1,106.56437811836828,,train
CO,MB2_flip3,106.56583033214892,,1,106.56583033214892,,train
CO,MB2_flip4,106.56795741310057,,1,106.56795741310057,,train
CO,MB2_flip5,106.5661592410502,,1,106.5661592410502,,train
CO,MB2,107.53907382702191,,1,107.53907382702191,,test
CO,MB2_flip1,107.53659647678883,,1,107.53659647678883,,test
CO,MB2_flip2,107.53744730693228,,1,107.53744730693228,,test
CO,MB2_flip3,107.53894177501856,,1,107.53894177501856,,test
CO,MB2_flip4,107.54106841306402,,1,107.54106841306402,,test
CO,MB2_flip5,107.53927092243667,,1,107.53927092243667,,test
